code,company_name,gics_sector,gics_industry_group,market_cap_rank
KME,KIP MCGRATH EDUCATION CENTRES LIMITED,Consumer Discretionary,Consumer Services,1004
NVO,NOVO RESOURCES CORP,Materials,Materials,1005
MCA,MURRAY COD AUSTRALIA LIMITED,Other,"Food, Beverage & Tobacco",1006
PWN,PARKWAY CORPORATE LIMITED,Materials,Materials,1007
HMX,HAMMER METALS LIMITED,Materials,Materials,1008
REC,RECHARGE METALS LIMITED,Materials,Materials,1009
LGP,LITTLE GREEN PHARMA LTD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1010
EZZ,EZZ LIFE SCIENCE HOLDINGS LIMITED,Consumer Discretionary,Consumer Discretionary Distribution & Retail,1011
BDX,BCAL DIAGNOSTICS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1012
ION,IONDRIVE LIMITED,Materials,Materials,1013
SPN,SPARC TECHNOLOGIES LIMITED,Materials,Materials,1014
VRS,VERIS LIMITED,Industrials,Commercial & Professional Services,1015
RTH,RAS TECHNOLOGY HOLDINGS LIMITED,Industrials,Commercial & Professional Services,1016
EMC,EVEREST METALS CORPORATION LTD,Materials,Materials,1017
JPR,JUPITER ENERGY LIMITED,Energy,Energy,1018
DYM,DYNAMIC METALS LIMITED,Materials,Materials,1019
DTZ,DOTZ NANO LIMITED,Information Technology,Technology Hardware & Equipment,1020
VKA,VIKING MINES LIMITED,Materials,Materials,1021
EVG,EVION GROUP NL,Materials,Materials,1022
BMT,BEAMTREE HOLDINGS LIMITED,Health Care,Health Care Equipment & Services,1023
PPK,PPK GROUP LIMITED,Materials,Materials,1024
PL3,PATAGONIA LITHIUM LTD,Materials,Materials,1025
AR9,ARCHTIS LIMITED,Information Technology,Software & Services,1026
CRR,CRITICAL RESOURCES LIMITED,Materials,Materials,1027
NC1,NICO RESOURCES LIMITED,Materials,Materials,1028
LML,LINCOLN MINERALS LIMITED,Materials,Materials,1029
RKT,ROCKETDNA LTD,Information Technology,Technology Hardware & Equipment,1030
1AI,ALGORAE PHARMACEUTICALS LIMITED,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",1031
AUR,AURIS MINERALS LIMITED,Materials,Materials,1032
AXN,ALLIANCE NICKEL LIMITED,Materials,Materials,1033
DGR,DGR GLOBAL LIMITED,Materials,Materials,1034
AMX,AEROMETREX LIMITED,Industrials,Commercial & Professional Services,1035
PKY,PATHKEY.AI LTD,Information Technology,Software & Services,1036
YUG,YUGO METALS LIMITED,Materials,Materials,1037
ZAG,ZULEIKA GOLD LIMITED,Materials,Materials,1038
IPT,IMPACT MINERALS LIMITED,Materials,Materials,1039
TG6,TG METALS LIMITED,Materials,Materials,1040
NOU,NOUMI LIMITED,Other,"Food, Beverage & Tobacco",1041
